t[s]  s[m]  class
1  0.05  a
2  0.2   a
3  0.44  a
4  0.78  a
5  1.23  a
6  1.76  a
7  2.4   a
8  3.14  a
9  3.97  a
10    4.9   a
11  5.93  a
12  7.06  a
13  8.28  a
14  9.6   a
15 11.03 a
16 12.54 a
17 14.16 a
18 15.88 a
19 17.69 a
20 19.6 a
21 21.61 a
22 23.72 a
23 25.92 a
24 28.22 a
25 30.63 a
26 33.12 a
27 35.72 a
28 38.42 a
29 41.21 a
30 44.1 a
31 47.09 a
32 50.18 a
33 53.36 a
34 56.64 a
35 60.03 a
36 63.5 a
37 67.08 a
38 70.76 a
39 74.53 a
40 78.4 a
41 82.37 a
42 86.44 a
43 90.6 a
44 94.86 a
45 99.23 a
46 103.68 a
47 108.24 a
48 112.9 a
49 117.65 a
50 122.5 a
51 127.45 a
52 132.5 a
53 137.64 a
54 142.88 a
55 148.23 a
56 153.66 a
57 159.2 a
58 164.84 a
59 170.57 a
60 176.4 a
61 182.33 a
62 188.36 a
63 194.48 a
64 200.7 a
65 207.03 a
66 213.44 a
67 219.96 a
68 226.58 a
69 233.29 a
70 240.1 a
71 247.01 a
72 254.02 a
73 261.12 a
74 268.32 a
75 275.63 a
76 283.02 a
77 290.52 a
78 298.12 a
79 305.81 a
80 313.6 a
81 321.49 a
82 329.48 a
83 337.56 a
84 345.74 a
85 354.03 a
86 362.4 a
87 370.88 a
88 379.46 a
89 388.13 a
90 396.9 a
91 405.77 a
92 414.74 a
93 423.8 a
94 432.96 a
95 442.23 a
96 451.58 a
97 461.04 a
98 470.6 a
99 480.25 a
100 490 a
